Semana,Fase,Entregas principais
1,Alpha Hardening,"Congelar escopo Alpha, aprovar gates, nomear owners, congelar premissas"
2,Alpha Hardening,"Congelar dataset oficial v1, manifesto, revisar labels, publicar taxonomy v1"
3,Alpha Hardening,"Integrar solver real v1, comparar solver real vs solver-like"
4,Alpha Hardening,"Treinar/selecionar candidate alpha, round-robin, score por taxonomy"
5,Alpha Hardening,"Model card, release gate alpha, regression suite, packaging"
6,Alpha Hardening,"Aprovar candidate alpha, readiness snapshot, encerrar Alpha"
7,Beta Enablement,"Refinar UX, onboarding, planejar piloto fechado"
8,Beta Enablement,"Auth básica, ambientes, observabilidade básica, backups"
9,Beta Enablement,"Pipeline de release, rollback, coleta de uso, changelog"
10,Beta Enablement,"Iniciar piloto fechado, feedback, medir custo por sessão"
11,Beta Enablement,"Corrigir fricções, ajustar candidate beta, avaliação contínua"
12,Beta Enablement,"Emitir gate beta, aprovar ou reprovar promoção"
13,Beta Hardening,"Estabilizar operação, revisar incidentes, reforçar governança"
14,Beta Hardening,"Fortalecer CI/CD, rollback, observabilidade e alertas"
15,Beta Hardening,"Aprovar candidate production, emitir release gate produção"
16,Beta Hardening,"Congelar janela de lançamento, checklists finais"
17,Produção Inicial,"Deploy controlado, smoke tests, liberar produção inicial"
18,Produção Inicial,"Monitorar estabilidade, custo e incidentes; relatório pós-lançamento"
