Entrega,Sponsor Executivo,Product Owner,Tech Lead,Lead IA/ML,Engenharia Backend,Engenharia de Dados,MLOps/DevOps,UX/Produto,QA,FinOps,Segurança,Operações/SRE
Escopo Alpha,A,R,C,C,I,I,I,C,I,C,I,I
Dataset oficial v1,I,C,C,C,I,R/A,C,I,C,I,I,I
Taxonomy oficial v1,I,C,C,R/A,I,R,I,I,C,I,I,I
Candidate alpha,I,C,C,R/A,I,C,C,I,C,I,I,I
Benchmark round-robin,I,I,C,R,C,C,C,I,A,I,I,I
Release gate alpha,I,C,A,R,I,C,C,I,C,I,I,I
Packaging Alpha,I,I,A,I,R,I,R,I,C,C,C,C
Beta onboarding,I,A,C,I,C,I,I,R,C,I,I,I
Observabilidade Beta,I,I,C,I,C,I,R/A,I,C,C,C,R
Candidate beta,I,C,C,R/A,I,C,C,I,C,I,I,I
Segurança produção,I,I,C,I,C,I,C,I,C,I,R/A,C
CI/CD e rollout,I,I,C,I,C,I,R/A,I,C,I,C,R
Produção inicial,A,C,R,C,C,C,C,C,C,C,C,R
